Record ID,Store Name,Store Street Address,Additional Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name
962631,CVS Pharmacy 1903,796 PARK AVE.,,Bloomfield,CT,6002,,HARTFORD,Other,41.829113,-72.733337,,
1298665,Dollar General 19060,1051 Blue Hills Ave,,Bloomfield,CT,6002,2700,HARTFORD,Other,41.823177,-72.696289,,
775001,DOLLAR TREE 1128,299 Cottage Grove Rd,,Bloomfield,CT,6002,3117,HARTFORD,Other,41.817226,-72.71125,,
976408,Family Dollar 8437,38 Tunxis Ave,Ste 1,Bloomfield,CT,6002,2034,HARTFORD,Other,41.834675,-72.737305,,
1253678,Fresh Farms Market 3,1055 Blue Hills Ave,,Bloomfield,CT,6002,2726,HARTFORD,Supermarket,41.822765,-72.69622,,
777755,Geisslers Supermarket,40 Tunxis Ave,Ste 1,Bloomfield,CT,6002,2030,HARTFORD,Super Store,41.835884,-72.738274,,
1109653,Isaacs Mini Food Mart 1,18 Mountain Ave,,Bloomfield,CT,6002,2339,HARTFORD,Convenience Store,41.830914,-72.740265,,
1034551,Ocean State Job Lot 322,20 Mountain Ave,,Bloomfield,CT,6002,2339,HARTFORD,Other,41.830818,-72.741196,,
1512208,One Stop Bloomfield,1020 Blue Hills Ave,,Bloomfield,CT,6002,3794,HARTFORD,Convenience Store,41.819862,-72.695404,,
1081181,Saba Live Poultry Inc,52 Granby St,,Bloomfield,CT,6002,3512,HARTFORD,Specialty Store,41.815205,-72.708977,,
1494169,Safia3,925 Blue Hills Ave,,Bloomfield,CT,6002,3711,HARTFORD,Convenience Store,41.81596,-72.69548,,
539659,Stop & Shop 651,313 Cottage Grove Rd,,Bloomfield,CT,6002,3148,HARTFORD,Supermarket,41.817287,-72.712067,,
1460720,Tunxis Food Mart,36 Tunxis Ave,,Bloomfield,CT,6002,2006,HARTFORD,Convenience Store,41.835625,-72.73732,,
1305681,Vrunda Llc,818 Park Ave,,Bloomfield,CT,6002,2417,HARTFORD,Convenience Store,41.8297,-72.734406,,
645748,Walgreens 17398,835 Park Ave,,Bloomfield,CT,6002,2469,HARTFORD,Other,41.829914,-72.735077,,
1223679,World Fish,1023 Blue Hills Ave,,Bloomfield,CT,6002,3715,HARTFORD,Specialty Store,41.820072,-72.695824,,
1409288,A-1 Food Store No,140B West St,,Bolton,CT,6043,7714,TOLLAND,Convenience Store,41.7505,-72.438591,,
1547226,Alltown Fresh Bolton 669,129 Boston Tpke,,Bolton,CT,6043,7203,TOLLAND,Convenience Store,41.783531,-72.465218,,
1474379,Dollar General 23232,1100 Boston Tpke,,Bolton,CT,6043,7439,TOLLAND,Other,41.796864,-72.424675,,
1589351,Jenna I,1135 Boston Tpke,,Bolton,CT,6043,7405,TOLLAND,Convenience Store,41.796295,-72.423775,,
1248816,Best Way,419 Salem Tpke,,Bozrah,CT,6334,1516,NEW LONDON,Convenience Store,41.507198,-72.14856,,
1155282,350 Foxon Food Mart LLC 01,202 E Main St,,Branford,CT,6405,3766,NEW HAVEN,Convenience Store,41.289085,-72.800995,,
1505866,Aldi 73116,1151 W Main St,Unit 1,Branford,CT,6405,3540,NEW HAVEN,Supermarket,41.275902,-72.826775,,
974087,Big Y Supermarkets 12,1060 Main St,,Branford,CT,6405,3732,NEW HAVEN,Super Store,41.282475,-72.810776,,
1557422,By The Way,470 E Main St,,Branford,CT,6405,2943,NEW HAVEN,Convenience Store,41.29882,-72.772301,,
1597319,Caron's Corner,147 Montowese St,,Branford,CT,6405,3809,NEW HAVEN,Convenience Store,41.28009,-72.807549,,
962471,Cumberland Farms Inc 4751,227 East Main St,,Branford,CT,6405,3102,NEW HAVEN,Convenience Store,41.290375,-72.797821,,
615742,CVS PHARMACY 172,2-6 Short Beach Rd,,Branford,CT,6405,6231,NEW HAVEN,Other,41.275215,-72.830116,,
852495,DOLLAR TREE 3550,869 W Main St,Ste A,Branford,CT,6405,3402,NEW HAVEN,Other,41.276054,-72.835991,,
830050,Four Seasons Market,875 W Main St,,Branford,CT,6405,3425,NEW HAVEN,Grocery Store,41.27602,-72.835808,,
1526764,Jhan Food Mart Llc N/A,380 E Main St,,Branford,CT,6405,2938,NEW HAVEN,Convenience Store,41.296272,-72.7808,,
1318300,Krauszers Food Store,170 Cedar St,,Branford,CT,6405,6011,NEW HAVEN,Convenience Store,41.289867,-72.819534,,
233210,Stop & Shop 687,22 Leetes Island Rd,Ste 1,Branford,CT,6405,6514,NEW HAVEN,Supermarket,41.29734,-72.764595,,
1012005,TA Express New Haven 171,I-95  Exit 56,Access Road:  3 E Industrial Rd,Branford,CT,6405,6508,NEW HAVEN,Convenience Store,41.296585,-72.755219,,
907311,Walgreens 03944,329 E Main St,,Branford,CT,6405,3106,NEW HAVEN,Other,41.292515,-72.78669,,
842908,Walgreens 10309,1036 W Main St,,Branford,CT,6405,3428,NEW HAVEN,Other,41.275169,-72.831444,,
245152,Walmart  2232,120 Commercial Pkwy,,Branford,CT,6405,2537,NEW HAVEN,Super Store,41.279774,-72.831337,,
1344659,1 Stop Groceries Llc,938 Connecticut Ave,,Bridgeport,CT,6607,1205,FAIRFIELD,Convenience Store,41.182129,-73.160759,,
1515206,203 Deli Llc,477-487 Pequonneck Street,,Bridgeport,CT,6604,,FAIRFIELD,Convenience Store,41.182053,-73.203545,,
811298,Africana Market Llc,2375 Main St,,Bridgeport,CT,6606,5324,FAIRFIELD,Other,41.195179,-73.199593,,
1519894,Aguamiel Market 1,717 Kossuth St,,Bridgeport,CT,6608,1906,FAIRFIELD,Convenience Store,41.188431,-73.18251,,
1034294,A & H Food Store Inc,233 North Ave,,Bridgeport,CT,6606,5123,FAIRFIELD,Convenience Store,41.200848,-73.191917,,
1495738,Alba Deli Grocery,2839 Fairfield Ave,,Bridgeport,CT,6605,3211,FAIRFIELD,Convenience Store,41.157299,-73.226578,,
1503596,Alliance Farmers Market,1151 Park Ave,,Bridgeport,CT,6604,3411,FAIRFIELD,Farmers and Markets,41.176498,-73.20034,,
1218011,Almonte Market,288 Bunnell St,,Bridgeport,CT,6607,1004,FAIRFIELD,Convenience Store,41.182053,-73.16729,,
1577767,AMG 189,1917 Boston Ave,,Bridgeport,CT,6610,2623,FAIRFIELD,Convenience Store,41.193367,-73.158699,,
1113437,Azteca Market 2,522 Pequonnock St,,Bridgeport,CT,6604,2614,FAIRFIELD,Grocery Store,41.182362,-73.204346,,
1475308,Baghdad Halal Super Market,978 State St,,Bridgeport,CT,6605,1500,FAIRFIELD,Grocery Store,41.172585,-73.20253,,
